data;ID_motorista;mapa;caixas
2025-03-08;159;278872;10
2025-03-08;159;278872;6
2025-03-08;159;278872;1
2025-03-08;159;278872;1
2025-03-08;159;278872;7
2025-03-08;159;278872;12
2025-03-08;159;278872;8
2025-03-08;159;278872;14
2025-03-08;159;278872;11
2025-03-08;159;278872;2
2025-03-08;159;278872;3
2025-03-08;159;278872;2
2025-03-08;159;278872;5
2025-03-08;162;278884;23
2025-03-10;83;278926;2
2025-03-10;83;278926;5
2025-03-10;83;278926;3
2025-03-10;83;278926;5
2025-03-10;83;278926;4
2025-03-10;83;278926;4
2025-03-10;83;278926;2
2025-03-10;83;278926;7
2025-03-10;83;278926;3
2025-03-10;83;278926;6
2025-03-10;83;278926;1
2025-03-10;83;278926;9
2025-03-10;83;278926;4
2025-03-10;83;278926;19
2025-03-10;83;278926;1
2025-03-10;83;278926;3
2025-03-10;83;278926;7
2025-03-10;83;278926;3
2025-03-10;83;278926;2
2025-03-10;83;278926;4
2025-03-10;83;278926;7
2025-03-10;83;278926;4
2025-03-10;502;278927;4
2025-03-11;338;278945;120
2025-03-11;338;278945;85
2025-03-11;338;278945;118
2025-03-11;338;278945;90
2025-03-11;338;278945;225
2025-03-11;338;278945;91
2025-03-11;338;278945;90
2025-03-11;502;278969;9
2025-03-11;83;278973;1
2025-03-11;83;278973;1
2025-03-11;559;278977;2
2025-03-11;284;278983;
2025-03-11;284;278983;
2025-03-11;217;278985;
2025-03-11;141;278986;
2025-03-11;141;278992;0
2025-03-11;141;278993;0
2025-03-11;141;278994;0
2025-03-11;141;278995;0
2025-03-11;141;278996;0
2025-03-11;162;278999;0
2025-03-12;83;279036;7
2025-03-12;559;279042;2
2025-03-12;559;279042;12
2025-03-12;217;279048;
2025-03-12;162;279054;
2025-03-14;40;279115;101
2025-03-14;341;279148;5
2025-03-14;217;279156;
2025-03-14;217;279156;
2025-03-14;141;279165;
2025-03-14;141;279165;
2025-03-15;559;279182;10
2025-03-15;81;279185;3
2025-03-15;502;279186;2
2025-03-15;502;279186;1
2025-03-15;502;279186;2
2025-03-15;502;279186;5
2025-03-15;502;279186;7
2025-03-15;502;279186;10
2025-03-15;502;279186;1
2025-03-15;502;279186;3
2025-03-15;672;279189;3
2025-03-15;217;279196;
2025-03-17;502;279245;2
2025-03-17;675;279247;25
2025-03-17;675;279247;32
2025-03-17;675;279247;9
2025-03-18;246;279274;90
2025-03-18;246;279274;183
2025-03-18;246;279274;189
2025-03-18;246;279274;92
2025-03-18;246;279274;123
2025-03-18;246;279274;128
2025-03-18;80;279306;
2025-03-18;141;279317;0
2025-03-18;141;279318;0
2025-03-18;141;279319;0
2025-03-18;141;279320;0
2025-03-18;141;279321;0
2025-03-18;141;279323;0
2025-03-18;141;279324;
2025-03-18;217;279327;
2025-03-18;141;279329;
2025-03-18;141;279329;
2025-03-18;141;279329;
2025-03-18;141;279329;
2025-03-18;141;279329;
2025-03-18;141;279329;
2025-03-18;141;279329;
2025-03-18;141;279329;
2025-03-18;141;279329;
2025-03-18;141;279329;
2025-03-18;141;279329;
2025-03-18;141;279329;
2025-03-18;141;279329;
2025-03-18;141;279330;
2025-03-18;141;279330;
2025-03-18;141;279330;
2025-03-18;141;279330;
2025-03-18;141;279330;
2025-03-18;141;279330;
2025-03-18;141;279330;
2025-03-18;141;279330;
2025-03-18;141;279330;
2025-03-18;141;279330;
2025-03-18;141;279330;
2025-03-18;141;279331;
2025-03-18;141;279334;
2025-03-18;141;279334;
2025-03-18;141;279334;
2025-03-18;141;279334;
2025-03-18;141;279334;
2025-03-18;141;279334;
2025-03-18;141;279334;
2025-03-18;141;279334;
2025-03-18;141;279334;
2025-03-18;141;279334;
2025-03-18;141;279334;
2025-03-18;141;279334;
2025-03-18;141;279334;
2025-03-18;141;279334;
2025-03-18;141;279334;
2025-03-18;141;279334;
2025-03-18;141;279334;
2025-03-18;141;279334;
2025-03-18;141;279334;
2025-03-18;141;279334;
2025-03-18;141;279334;
2025-03-18;141;279334;
2025-03-18;141;279334;
2025-03-18;141;279334;
2025-03-19;502;279370;1
2025-03-19;502;279370;3
2025-03-19;159;279376;1
2025-03-19;217;279383;
2025-03-19;217;279385;
2025-03-19;217;279386;
2025-03-19;217;279386;0
2025-03-19;141;279387;
2025-03-19;141;279387;0
2025-03-19;217;279388;
2025-03-19;217;279388;0
2025-03-19;217;279389;
2025-03-19;217;279389;0
2025-03-19;217;279390;
2025-03-19;217;279390;0
2025-03-19;141;279395;
2025-03-20;40;279420;1090
2025-03-20;159;279452;15
2025-03-20;159;279452;1
2025-03-20;502;279453;1
2025-03-20;141;279459;
2025-03-20;40;279481;0
2025-03-21;217;279543;
2025-03-21;141;279553;
2025-03-21;141;279553;
2025-03-21;162;279560;6
2025-03-22;672;279588;5
2025-03-22;672;279588;2
2025-03-22;672;279588;3
2025-03-22;672;279588;5
2025-03-22;672;279588;2
2025-03-22;672;279588;4
2025-03-22;672;279588;5
2025-03-22;672;279588;2
2025-03-22;141;279595;0
2025-03-22;141;279596;
2025-03-22;141;279597;
2025-03-24;159;279637;1
2025-03-24;113;279641;
2025-03-24;141;279647;0
2025-03-24;141;279648;0
2025-03-24;141;279649;0
2025-03-24;141;279652;0
2025-03-25;113;279699;7
2025-03-25;159;279705;1
2025-03-25;159;279705;1
2025-03-25;217;279710;
2025-03-26;246;279728;198
2025-03-26;246;279728;251
2025-03-26;246;279728;73
2025-03-26;246;279728;76
2025-03-26;246;279728;89
2025-03-26;246;279728;128
2025-03-26;341;279753;10
2025-03-26;217;279758;
2025-03-26;217;279758;
2025-03-26;217;279758;
2025-03-26;217;279758;
2025-03-26;217;279758;
2025-03-26;217;279758;
2025-03-27;502;279804;3
2025-03-27;502;279804;10
2025-03-27;672;279807;6
2025-03-27;113;279811;1
2025-03-27;72;279816;0
2025-03-27;141;279818;0
2025-03-27;141;279819;0
2025-03-27;141;279820;0
2025-03-27;141;279825;42
2025-03-27;714;279829;
2025-03-27;714;279829;
2025-03-28;341;279865;1
2025-03-28;341;279865;13
2025-03-28;224;279867;7
2025-03-28;217;279880;13
2025-03-29;141;279902;
2025-03-31;502;279944;7
2025-03-31;502;279944;6
2025-03-31;502;279944;
2025-03-05;208;278672;10
2025-03-07;50;278805;1
2025-03-10;116;278895;2
2025-03-10;50;278922;5
2025-03-10;153;278923;6
2025-03-10;153;278923;27
2025-03-15;192;279180;2
2025-03-17;196;279234;4
2025-03-18;222;279286;
2025-03-24;153;279613;4
2025-03-24;153;279613;7
2025-03-03;51;278581;6
2025-03-04;453;278634;75
2025-03-04;453;278634;107
2025-03-08;665;278855;34
2025-03-08;665;278855;55
2025-03-08;665;278855;31
2025-03-10;196;278913;36
2025-03-12;196;279019;246
2025-03-12;453;279027;49
2025-03-14;689;279120;29
2025-03-14;665;279125;3
2025-03-14;192;279130;22
2025-03-14;221;279131;25
2025-03-17;199;279210;7
2025-03-17;22;279216;
2025-03-17;50;279217;2
2025-03-17;665;279224;
2025-03-19;51;279336;30
2025-03-19;50;279338;3
2025-03-21;200;279528;23
2025-03-24;221;279617;
2025-03-27;50;279778;3
2025-03-28;7;279862;26
2025-03-31;728;279909;10
2025-03-31;714;279933;183
2025-03-31;714;279933;106
2025-03-01;74;278560;37
2025-03-01;341;278568;12
2025-03-01;544;278553;5
2025-03-01;113;278567;13
2025-03-01;81;278569;4
2025-03-01;80;278572;6
2025-03-01;98;278562;18
2025-03-01;665;278561;19
2025-03-01;544;278553;26
2025-03-01;453;278552;50
2025-03-01;341;278568;1
2025-03-01;219;278559;32
2025-03-01;27;278564;2
2025-03-01;27;278564;6
2025-03-01;153;278551;4
2025-03-01;113;278567;1
2025-03-01;146;278554;21
2025-03-01;219;278559;30
2025-03-01;675;278570;1
2025-03-01;341;278568;2
2025-03-01;113;278567;3
2025-03-01;192;278556;15
2025-03-01;216;278571;8
2025-03-01;80;278572;17
2025-03-01;675;278570;7
2025-03-01;98;278562;11
2025-03-01;146;278554;4
2025-03-01;153;278551;8
2025-03-01;27;278564;4
2025-03-01;27;278564;9
2025-03-01;341;278568;7
2025-03-01;665;278561;40
2025-03-01;216;278571;1
2025-03-01;98;278562;3
2025-03-01;81;278569;23
2025-03-01;74;278560;47
2025-03-01;81;278569;6
2025-03-01;113;278567;6
2025-03-01;41;278558;8
2025-03-01;162;278557;26
2025-03-01;113;278567;7
2025-03-01;27;278564;5
2025-03-01;341;278568;13
2025-03-01;74;278560;23
2025-03-01;675;278570;15
2025-03-01;159;278565;6
2025-03-01;453;278552;25
2025-03-01;81;278569;6
2025-03-01;146;278554;25
2025-03-01;544;278553;21
2025-03-01;80;278572;15
2025-03-01;113;278567;2
2025-03-01;192;278556;8
2025-03-01;146;278554;4
2025-03-01;81;278569;3
2025-03-01;81;278569;4
2025-03-01;544;278553;4
2025-03-01;27;278564;4
2025-03-01;41;278558;3
2025-03-01;80;278572;1
2025-03-01;146;278554;1
2025-03-01;162;278557;5
2025-03-01;74;278560;19
2025-03-01;27;278564;4
2025-03-01;113;278567;13
2025-03-01;80;278572;1
2025-03-01;665;278561;35
2025-03-01;159;278565;12
2025-03-01;27;278564;1
2025-03-01;113;278567;3
2025-03-01;216;278571;10
2025-03-01;192;278556;8
2025-03-01;162;278557;3
2025-03-01;80;278572;1
2025-03-01;544;278553;19
2025-03-01;453;278552;9
2025-03-01;341;278568;5
2025-03-01;146;278554;2
2025-03-01;146;278554;13
2025-03-01;341;278568;2
2025-03-01;41;278558;3
2025-03-01;159;278565;6
2025-03-01;80;278572;6
2025-03-01;81;278569;2
2025-03-01;675;278570;6
2025-03-01;162;278557;3
2025-03-01;146;278554;3
2025-03-01;81;278569;1
2025-03-01;113;278567;8
2025-03-01;27;278564;12
2025-03-01;216;278571;3
2025-03-01;341;278568;4
2025-03-01;219;278559;29
2025-03-01;80;278572;7
2025-03-01;98;278562;39
2025-03-01;162;278557;5
2025-03-01;113;278567;3
2025-03-01;219;278559;22
2025-03-01;81;278569;4
2025-03-01;113;278567;3
2025-03-01;216;278571;1
2025-03-01;675;278570;3
2025-03-01;27;278564;4
2025-03-01;341;278568;1
2025-03-01;113;278567;2
2025-03-01;80;278572;5
2025-03-01;41;278558;3
2025-03-01;675;278570;3
2025-03-01;162;278557;11
2025-03-01;341;278568;1
2025-03-01;113;278567;5
2025-03-01;41;278558;1
2025-03-01;544;278553;139
2025-03-01;74;278560;21
2025-03-01;665;278561;43
2025-03-01;341;278568;4
2025-03-01;113;278567;8
2025-03-01;98;278562;21
2025-03-01;146;278554;38
2025-03-01;216;278571;7
2025-03-01;81;278569;3
2025-03-01;453;278552;22
2025-03-01;41;278558;3
2025-03-01;665;278561;30
2025-03-01;453;278552;22
2025-03-01;81;278569;7
2025-03-01;675;278570;3
2025-03-01;192;278556;23
2025-03-01;80;278572;10
2025-03-01;74;278560;35
2025-03-01;341;278568;10
2025-03-01;27;278564;8
2025-03-01;113;278567;6
2025-03-01;675;278570;1
2025-03-01;216;278571;7
2025-03-01;41;278558;3
2025-03-01;81;278569;3
2025-03-01;502;278566;2
2025-03-01;544;278553;12
2025-03-01;146;278554;9
2025-03-01;675;278570;4
2025-03-01;80;278572;7
2025-03-01;41;278558;1
2025-03-01;675;278570;2
2025-03-01;146;278554;3
2025-03-01;216;278571;3
2025-03-01;162;278557;51
2025-03-01;219;278559;31
2025-03-01;113;278567;10
2025-03-01;41;278558;2
2025-03-01;146;278554;3
2025-03-01;81;278569;1
2025-03-01;341;278568;16
2025-03-01;341;278568;17
2025-03-01;113;278567;4
2025-03-01;544;278553;4
2025-03-01;74;278560;31
2025-03-01;41;278558;1
2025-03-01;502;278566;6
2025-03-01;146;278554;4
2025-03-01;675;278570;2
2025-03-01;162;278557;
2025-03-01;80;278572;8
2025-03-01;41;278558;1
2025-03-01;675;278570;7
2025-03-01;27;278564;1
2025-03-01;81;278569;5
2025-03-01;544;278553;5
2025-03-01;113;278567;5
2025-03-01;81;278569;1
2025-03-01;544;278553;2
2025-03-01;146;278554;5
2025-03-01;341;278568;1
2025-03-01;41;278558;3
2025-03-01;98;278562;31
2025-03-01;81;278569;1
2025-03-01;81;278569;9
2025-03-01;341;278568;7
2025-03-01;341;278568;1
2025-03-01;27;278564;6
